"id";"seed";"name";"region";"url";"round_out"
1;1;"Pittsburgh";1;;0
2;16;"E. Tennessee St.";1;;0
3;8;"Oklahoma St.";1;;0
4;9;"Tennessee";1;;0
5;5;"Florida St.";1;;0
6;12;"Wisconsin";1;;0
7;4;"Xavier";1;;0
8;13;"Portland St.";1;;0
9;6;"UCLA";1;;0
10;11;"VCU";1;;0
11;3;"Villanova";1;;0
12;14;"American";1;;0
13;7;"Texas";1;;0
14;10;"Minnesota";1;;0
15;2;"Duke";1;;0
16;15;"Binghamton";1;;0
17;1;"Louisville";2;;0
18;16;"Alabama St./Morehead St.";2;;0
19;8;"Ohio St.";2;;0
20;9;"Siena";2;;0
21;5;"Utah";2;;0
22;12;"Arizona";2;;0
23;4;"Wake Forest";2;;0
24;13;"Cleveland St.";2;;0
25;6;"West Virginia";2;;0
26;11;"Dayton";2;;0
27;3;"Kansas";2;;0
28;14;"North Dakota St.";2;;0
29;7;"Boston College";2;;0
30;10;"USC";2;;0
31;2;"Michigan St.";2;;0
32;15;"Robert Morris";2;;0
33;1;"North Carolina";3;;0
34;16;"Radford";3;;0
35;8;"LSU";3;;0
36;9;"Butler";3;;0
37;5;"Illinois";3;;0
38;12;"Western Kentucky";3;;0
39;4;"Gonzaga";3;;0
40;13;"Akron";3;;0
41;6;"Arizona St.";3;;0
42;11;"Temple";3;;0
43;3;"Syracuse";3;;0
44;14;"Stephen F. Austin";3;;0
45;7;"Clemson";3;;0
46;10;"Michigan";3;;0
47;2;"Oklahoma";3;;0
48;15;"Morgan St.";3;;0
49;1;"Connecticut";4;;0
50;16;"Chattanooga";4;;0
51;8;"BYU";4;;0
52;9;"Texas A&amp;M";4;;0
53;5;"Purdue";4;;0
54;12;"Northern Iowa";4;;0
55;4;"Washington";4;;0
56;13;"Mississippi St.";4;;0
57;6;"Marquette";4;;0
58;11;"Utah St.";4;;0
59;3;"Missouri";4;;0
60;14;"Cornell";4;;0
61;7;"California";4;;0
62;10;"Maryland";4;;0
63;2;"Memphis";4;;0
64;15;"CSU Northridge";4;;0
